岳	ngok	
供	gung
使	thu
例	le
侠	gap
侠	hap
侥	giau
侥	nziau
版	ban
侄	cit
侦	zin
侣	li
侣	lu
侧	zet
侧	cet
凭	pin
凭	pang
侨	kiau
佩	pui
货	fo
侈	ci
依	ji
依	qe
卑	be
卑	bi
卑	bui
的	dit
的	ge
ケ	ge
ゲ	ge
ヰ	ve
う	qu
え	qe
お	qo
ら	la
よ	jo
ウ	qu
せ	se
ル	lu
を	vo
ん	r
ゼ	ze
ヰ	vi
ヱ	ve
迫	pet
迫	pok
质	zit
欣	sun
征	zin
征	zang
往	vong
往	qong
爬	pa
彼	pi
彼	bi
径	gin
所	tho
舍	sa
金	gim
刹	that
命	miang
肴	ngau
肴	jau
斧	bu
斧	fu
爸	ba
采	cai
觅	mi
觅	mit
觅	met
受	siu
乳	nzui
贪	tan
念	nziam
念	nem
贫	pin
忿	fun
肤	fu
肺	pui
肢	zi
肢	gi
肿	zung
胀	zong
朋	pen
股	gu
肮	qang
肮	qong
肪	fong
肥	pui
服	fuk
胁	sap
周	ziu
昏	fun
鱼	ngh
兔	tu
狐	fu
忽	fut
狗	geu
狞	nen
备	pi
备	pui
饰	si
饱	bau
饲	cu
变	ben
京	gin
京	giang
享	song
庞	pang
店	diam
夜	ja
庙	miau
府	fu
府	pu
底	di
底	dai
疟	nziok
疟	nziak
疙	nget
疙	get
疚	giu
剂	zai
卒	zut
郊	gau
庚	gang
废	fui
净	ciang
盲	mang
放	fong
刻	ket
育	juk
氓	mong
闸	cap
闹	nau
郑	zin
券	ken
卷	gen
单	dan
炬	ki
炬	gi
炒	cau
炊	cui
炕	kang
炎	jam
炉	lu
沫	mat
浅	cen
法	fat
泄	thia
沽	gu
沽	go
河	ho
沾	nziam
沾	zam
泪	lu
泪	lui
沮	zo
沮	zu
油	jiu
泊	pok
泊	pak
沿	jen
泡	pau
注	zu
泻	thia
泣	lap
泣	kip
泞	nin
泞	nen
泌	bi
泌	mi
泳	jun
泳	jung
泥	nai
沸	bui
沸	fui
沼	zau
波	bo
泼	pat
泽	cak
治	di
治	zi
治	ci
怖	bu
怔	zin
怔	zang
怯	kiap
性	thiang
性	thin
怕	pa
怜	len
怪	gai
怡	ji
学	hok
宝	bau
宗	zung
定	tin
宜	nzi
宠	cung
审	sin
宙	ziu
官	gon
空	kung
帘	liam
宛	von
宛	van
实	sit
试	ci
试	si
郎	long
诗	si
肩	gen
房	fong
诚	sang
诚	sin
衬	cun
衫	tham
视	si
祈	ki
祈	si
话	va
诞	dan
诡	gui
询	thun
询	cun
该	goi
该	gai
详	thiong
建	gen
建	ken
肃	thuk
肃	thu
录	luk
隶	li
录	luk
帚	ziu
屉	ti
居	gi
居	gio
届	gai
刷	thot
屈	kut
屈	kuk
屈(vut)	vut
弧	gu
弧	fu
弥	ni
弥	mi
弥	nzi
弦	sen
承	sang
承	sin
孟	mang
孟	men
陋	leu
陌	bak
陌	mak
陌	mo
孤	gu
陕	tham
降	gong
函	ham
限	han
妹	moi
姑	gu
姐	zia
姐	ze
姓	thiang
妮	ne
姆	mu
姆	me
妮	ni
始	ci
始	si
迢	zau
迢	tiau
驾	ga
叁	tham
参	cam
艰	gan
艰	gen
线	then
练	len
组	zu
绅	sin
细	the
驶	thu
织	zit
驹	gi
驹	ki
驹	ku
终	zung
驻	zu
驻	cu
绊	ban
驼	to	
绍	sau
绎	jit
经	gin
贯	gon
契	ke
贰	nzi
奏	zeu
春	cun
帮	bong
玷	zam
玷	nziam
珍	zin
玲	lin
玲	lang
珊	than
玻	bo
毒	tuk
型	sin
挂	gak
挂	ga
拭	sit
封	fung
持	ci
拷	kau
拱	gung
项	hong
项	song
垮	ka
挎	ka
城	sang
城	sin
挟	gap
挟	giap
挠	nau
挠	nziau
政	zin
赴	pu
赴	fu
赵	zau
挡	dong
拽	jet
拽	je
哉	zai
挺	tin
括	gat
括	ko
垢	geu
拴	thon
拾	hap
拾	gap
拾	sip
挑	tiau
垛	do
指	zi
垫	tiam
挣	zang
挤	ze
拼	piang
拼	pin
挖	vat
挖	vet
按	qon
挥	kui
挪	no
拯	zin
某	meu
甚	sim
荆	gin
茸	jung
革	gak
茬	zi
荐	zen
荐	cen
巷	hong
带	dai
草	cau
茧	giam
茵	jin
茶	ca
荒	fong
茫	mong
荡	tong
荣	jung
荤	fun
荧	jin
荧	jang
故	gu
胡	fu
荫	jim
荔	lai
南	nam
药	jok
标	biau
栈	can
柑	gam
枯	ku
柄	biang
栋	dung
相	thiong
查	ca
柏	bak
栅	than
柳	liu
柱	cu
柿	thu
栏	lam
柠	nen
树	su
勃	bot
勃	put
要	qoi
要	jau
柬	gan
咸	ham
威	vui
歪	vai
研	ngen
砖	zon
砂	tha
泵	dem
砚	gen
砚	gan
厘	li
厚	pun
厚	heu
砌	cet
砂	tha
泵	dem
泵	bang
砚	gan
砚	gen
砍	kam
面	men
耐	nai
耍	tha
牵	ken
鸥	qeu
残	can
殃	jong
轴	cuk
殃	jong
轻	kiang
虐	nziok
虐	nziak
鸦	qa
皆	gai
韭	giu
背	boi
背	bui
背	poi
背	bi
战	zen
战	zan
点	diam
虐	nziok
虐	nziak
临	lin
览	lam
竖	su
省	then
削	thiok
尝	song
尝	cong
昧	mui
盹	dun
是	he
是	ze
盼	pan
眨	jap
哇	va
哄	hung
哑	qa
显	sen
冒	mau
映	jang
映	jin
星	thin
昨	cam
昨	cak
昨	cok
咧	le
昭	zau
畏	vui
趴	pa
胃	vui
贵	gui
界	gai
虹	fung
虾	ha
蚁	nzi
蚁	ni
思	thu
蚂	ma
虽	thui
品	pin
咽	jen
咽	jin
骂	ma
勋	sun
哗	fa
咱	zan
响	song
哈	ha
哆	do
哆	da
咬	ngau
咳	kem
咳	ket
咪	mi
哪	na
哪	nai
哟	jo
炭	tan
峡	hap
峡	gap
罚	fat
贱	cen
贴	tiap
贻	ji
骨	gut
幽	jiu
钙	koi
钝	dun
钞	cau
钟	zung
钢	gong
钠	na
钠	nap
钥	jok
钦	kin
钧	jun
钧	gun
钩	geu
钩	ngeu
钮	niu
钮	neu
卸	thia
缸	gong
拜	bai
看	kon
矩	ki
毡	zam
氢	kin
怎	zin
牲	thang
选	then
适	sit
适	gat
秒	miau	
香	song
种	zung
